date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
29 March 2022 - 08:52 PM,13.28,125.76,34,4.0,Mapanas ,Northern Samar,2022-03-29T08:52:00,2022-03-29,08:52:00,2022-03-29
22 May 2022 - 12:31 AM,19.18,121.74,22,3.5,Calayan ,Cagayan,2022-05-22T12:31:00,2022-05-22,12:31:00,2022-05-22
21 May 2022 - 11:16 PM,12.97,124.52,4,3.6,Prieto Diaz ,Sorsogon,2022-05-21T11:16:00,2022-05-21,11:16:00,2022-05-21
27 April 2022 - 05:26 PM,18.11,120.57,25,3.6,City Of Batac ,Ilocos Norte,2022-04-27T05:26:00,2022-04-27,05:26:00,2022-04-27
27 April 2022 - 03:15 PM,11.25,126.05,8,3.7,Mercedes ,Eastern Samar,2022-04-27T03:15:00,2022-04-27,03:15:00,2022-04-27
27 April 2022 - 08:24 AM,3.12,127.54,48,4.6,Balut Island ,Municipality Of Sarangani ,2022-04-27T08:24:00,2022-04-27,08:24:00,2022-04-27
29 August 2022 - 09:18 PM,9.9,127.08,1,3.7,General Luna ,Surigao Del Norte,2022-08-29T09:18:00,2022-08-29,09:18:00,2022-08-29
29 August 2022 - 07:01 PM,5.38,127.33,124,4.4,Jose Abad Santos ,Davao Occidental,2022-08-29T07:01:00,2022-08-29,07:01:00,2022-08-29
16 January 2022 - 11:57 AM,16.36,122.33,6,3.9,Casiguran ,Aurora,2022-01-16T11:57:00,2022-01-16,11:57:00,2022-01-16
25 June 2022 - 05:18 AM,8.9,126.52,13,4.6,Cagwait ,Surigao Del Sur,2022-06-25T05:18:00,2022-06-25,05:18:00,2022-06-25
25 June 2022 - 04:41 AM,11.66,122.91,23,3.7,City Of Roxas ,Capiz,2022-06-25T04:41:00,2022-06-25,04:41:00,2022-06-25
25 June 2022 - 04:25 AM,21.0,120.06,33,3.8,Itbayat ,Batanes,2022-06-25T04:25:00,2022-06-25,04:25:00,2022-06-25
25 June 2022 - 02:47 AM,21.74,120.45,3,4.1,Itbayat ,Batanes,2022-06-25T02:47:00,2022-06-25,02:47:00,2022-06-25
15 February 2022 - 07:39 PM,3.29,125.87,137,3.7,Balut Island ,Municipality Of Sarangani ,2022-02-15T07:39:00,2022-02-15,07:39:00,2022-02-15
15 February 2022 - 10:12 AM,5.15,126.6,31,3.8,Sarangani Island ,Municipality Of Sarangani ,2022-02-15T10:12:00,2022-02-15,10:12:00,2022-02-15
27 April 2022 - 07:00 AM,5.15,126.58,60,4.4,Sarangani Island ,Municipality Of Sarangani ,2022-04-27T07:00:00,2022-04-27,07:00:00,2022-04-27
29 August 2022 - 02:57 PM,17.42,120.63,9,3.5,Villaviciosa ,Abra,2022-08-29T02:57:00,2022-08-29,02:57:00,2022-08-29
24 June 2022 - 11:27 PM,12.74,124.05,3,3.5,Bulusan ,Sorsogon,2022-06-24T11:27:00,2022-06-24,11:27:00,2022-06-24
15 February 2022 - 12:14 AM,17.13,119.32,25,3.6,Bolinao ,Pangasinan,2022-02-15T12:14:00,2022-02-15,12:14:00,2022-02-15
14 February 2022 - 10:30 PM,7.43,124.51,11,3.8,Alamada ,Cotabato,2022-02-14T10:30:00,2022-02-14,10:30:00,2022-02-14
29 March 2022 - 01:25 AM,8.71,126.46,38,4.1,Marihatag ,Surigao Del Sur,2022-03-29T01:25:00,2022-03-29,01:25:00,2022-03-29
28 March 2022 - 10:48 PM,8.38,125.9,7,3.7,Rosario ,Agusan Del Sur,2022-03-28T10:48:00,2022-03-28,10:48:00,2022-03-28
28 March 2022 - 08:54 PM,20.5,121.1,16,3.6,Itbayat ,Batanes,2022-03-28T08:54:00,2022-03-28,08:54:00,2022-03-28
28 March 2022 - 08:20 PM,13.76,120.55,103,3.6,Calatagan ,Batangas,2022-03-28T08:20:00,2022-03-28,08:20:00,2022-03-28
28 March 2022 - 07:57 PM,21.15,122.19,140,3.9,Itbayat ,Batanes,2022-03-28T07:57:00,2022-03-28,07:57:00,2022-03-28
28 March 2022 - 07:10 PM,18.16,120.68,15,4.0,Bacarra ,Ilocos Norte,2022-03-28T07:10:00,2022-03-28,07:10:00,2022-03-28
20 May 2022 - 11:33 PM,6.24,127.45,113,4.0,Tarragona ,Davao Oriental,2022-05-20T11:33:00,2022-05-20,11:33:00,2022-05-20
29 August 2022 - 04:32 AM,3.61,122.34,614,4.8,South Ubian ,Tawi-tawi,2022-08-29T04:32:00,2022-08-29,04:32:00,2022-08-29
29 August 2022 - 12:58 AM,6.63,126.7,171,4.5,Tarragona ,Davao Oriental,2022-08-29T12:58:00,2022-08-29,12:58:00,2022-08-29
29 July 2022 - 09:38 PM,17.72,120.48,5,4.7,Magsingal ,Ilocos Sur,2022-07-29T09:38:00,2022-07-29,09:38:00,2022-07-29
24 June 2022 - 09:41 PM,4.6,125.93,159,4.9,Balut Island ,Municipality Of Sarangani ,2022-06-24T09:41:00,2022-06-24,09:41:00,2022-06-24
24 June 2022 - 09:42 AM,18.06,120.47,28,3.8,Paoay ,Ilocos Norte,2022-06-24T09:42:00,2022-06-24,09:42:00,2022-06-24
20 May 2022 - 08:31 PM,5.02,125.59,1,4.2,Balut Island ,Municipality Of Sarangani ,2022-05-20T08:31:00,2022-05-20,08:31:00,2022-05-20
20 May 2022 - 05:12 PM,6.01,127.43,132,4.3,Tarragona ,Davao Oriental,2022-05-20T05:12:00,2022-05-20,05:12:00,2022-05-20
25 April 2022 - 02:16 PM,6.8,127.17,21,3.6,Manay ,Davao Oriental,2022-04-25T02:16:00,2022-04-25,02:16:00,2022-04-25
25 April 2022 - 06:14 AM,4.13,126.34,132,4.3,Balut Island ,Municipality Of Sarangani ,2022-04-25T06:14:00,2022-04-25,06:14:00,2022-04-25
29 July 2022 - 07:37 PM,17.51,120.7,11,3.7,Bucay ,Abra,2022-07-29T07:37:00,2022-07-29,07:37:00,2022-07-29
29 July 2022 - 06:56 PM,17.61,120.65,6,3.7,Tayum ,Abra,2022-07-29T06:56:00,2022-07-29,06:56:00,2022-07-29
14 January 2022 - 05:04 AM,3.27,126.15,33,3.7,Balut Island ,Municipality Of Sarangani ,2022-01-14T05:04:00,2022-01-14,05:04:00,2022-01-14
13 January 2022 - 09:56 PM,19.66,122.39,8,3.5,Babuyan Island ,Calayan ,2022-01-13T09:56:00,2022-01-13,09:56:00,2022-01-13
13 February 2022 - 06:12 PM,5.84,125.69,66,4.6,Don Marcelino ,Davao Occidental,2022-02-13T06:12:00,2022-02-13,06:12:00,2022-02-13
13 February 2022 - 11:44 AM,3.3,125.65,28,4.1,Balut Island ,Municipality Of Sarangani ,2022-02-13T11:44:00,2022-02-13,11:44:00,2022-02-13
28 March 2022 - 01:52 AM,2.84,126.35,93,4.0,Balut Island ,Municipality Of Sarangani ,2022-03-28T01:52:00,2022-03-28,01:52:00,2022-03-28
20 May 2022 - 02:04 PM,19.63,121.15,39,3.9,Dalupiri Island ,Calayan ,2022-05-20T02:04:00,2022-05-20,02:04:00,2022-05-20
20 May 2022 - 11:37 AM,10.34,126.46,1,3.7,Burgos ,Surigao Del Norte,2022-05-20T11:37:00,2022-05-20,11:37:00,2022-05-20
20 May 2022 - 07:48 AM,9.12,126.38,21,3.8,Bayabas ,Surigao Del Sur,2022-05-20T07:48:00,2022-05-20,07:48:00,2022-05-20
25 April 2022 - 02:05 AM,15.19,119.89,15,3.9,Iba ,Zambales,2022-04-25T02:05:00,2022-04-25,02:05:00,2022-04-25
28 August 2022 - 08:15 PM,20.78,122.66,6,3.8,Basco ,Batanes,2022-08-28T08:15:00,2022-08-28,08:15:00,2022-08-28
29 July 2022 - 03:59 PM,17.64,120.59,12,4.6,Tayum ,Abra,2022-07-29T03:59:00,2022-07-29,03:59:00,2022-07-29
29 July 2022 - 03:21 PM,17.57,120.53,6,4.3,Tayum ,Abra,2022-07-29T03:21:00,2022-07-29,03:21:00,2022-07-29
13 January 2022 - 06:01 PM,2.19,123.05,45,4.2,South Ubian ,Tawi-tawi,2022-01-13T06:01:00,2022-01-13,06:01:00,2022-01-13
13 January 2022 - 08:16 AM,12.38,123.69,11,4.0,Batuan ,Masbate,2022-01-13T08:16:00,2022-01-13,08:16:00,2022-01-13
13 January 2022 - 04:20 AM,16.95,121.62,10,4.0,Aurora ,Isabela,2022-01-13T04:20:00,2022-01-13,04:20:00,2022-01-13
23 June 2022 - 07:09 PM,19.04,122.24,1,3.9,Camiguin Island ,Calayan ,2022-06-23T07:09:00,2022-06-23,07:09:00,2022-06-23
23 June 2022 - 06:25 PM,10.44,127.05,25,3.5,Burgos ,Surigao Del Norte,2022-06-23T06:25:00,2022-06-23,06:25:00,2022-06-23
13 February 2022 - 12:33 AM,9.71,126.28,1,3.5,General Luna ,Surigao Del Norte,2022-02-13T12:33:00,2022-02-13,12:33:00,2022-02-13
20 May 2022 - 01:44 AM,9.97,122.57,53,3.5,Cauayan ,Negros Occidental,2022-05-20T01:44:00,2022-05-20,01:44:00,2022-05-20
24 April 2022 - 10:50 AM,16.59,119.66,22,3.6,Bolinao ,Pangasinan,2022-04-24T10:50:00,2022-04-24,10:50:00,2022-04-24
28 August 2022 - 06:04 PM,8.62,126.63,1,3.5,Marihatag ,Surigao Del Sur,2022-08-28T06:04:00,2022-08-28,06:04:00,2022-08-28
28 August 2022 - 06:00 PM,8.69,127.02,1,4.7,Marihatag ,Surigao Del Sur,2022-08-28T06:00:00,2022-08-28,06:00:00,2022-08-28
28 August 2022 - 05:28 PM,15.03,119.83,13,4.1,San Felipe ,Zambales,2022-08-28T05:28:00,2022-08-28,05:28:00,2022-08-28
28 August 2022 - 03:04 PM,17.45,120.66,8,3.5,Villaviciosa ,Abra,2022-08-28T03:04:00,2022-08-28,03:04:00,2022-08-28
29 July 2022 - 02:40 PM,4.64,126.07,104,3.6,Balut Island ,Municipality Of Sarangani ,2022-07-29T02:40:00,2022-07-29,02:40:00,2022-07-29
