date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
30 December 2021 - 02:55 PM,9.39,125.67,26,2.0,Kitcharao ,Agusan Del Norte,2021-12-30T02:55:00,2021-12-30,02:55:00,2021-12-30
30 June 2021 - 04:53 AM,7.48,123.84,23,1.7,Picong ,Lanao Del Sur,2021-06-30T04:53:00,2021-06-30,04:53:00,2021-06-30
30 June 2021 - 03:37 AM,13.39,122.29,1,2.0,Mulanay ,Quezon,2021-06-30T03:37:00,2021-06-30,03:37:00,2021-06-30
30 June 2021 - 03:01 AM,9.76,126.15,31,2.0,General Luna ,Surigao Del Norte,2021-06-30T03:01:00,2021-06-30,03:01:00,2021-06-30
30 October 2021 - 12:31 AM,13.63,120.08,21,1.9,Looc ,Occidental Mindoro,2021-10-30T12:31:00,2021-10-30,12:31:00,2021-10-30
30 October 2021 - 12:10 AM,16.83,121.51,25,1.7,Ramon ,Isabela,2021-10-30T12:10:00,2021-10-30,12:10:00,2021-10-30
29 October 2021 - 06:32 PM,13.71,120.6,82,1.7,Calatagan ,Batangas,2021-10-29T06:32:00,2021-10-29,06:32:00,2021-10-29
29 October 2021 - 06:48 AM,8.74,126.5,30,2.0,Marihatag ,Surigao Del Sur,2021-10-29T06:48:00,2021-10-29,06:48:00,2021-10-29
30 August 2021 - 02:02 AM,13.74,120.62,94,1.8,Calatagan ,Batangas,2021-08-30T02:02:00,2021-08-30,02:02:00,2021-08-30
30 August 2021 - 01:58 AM,13.72,120.68,105,2.0,Calatagan ,Batangas,2021-08-30T01:58:00,2021-08-30,01:58:00,2021-08-30
30 August 2021 - 01:39 AM,16.13,120.87,24,1.8,Santa Fe ,Nueva Vizcaya,2021-08-30T01:39:00,2021-08-30,01:39:00,2021-08-30
29 August 2021 - 07:24 PM,13.55,121.11,32,1.6,Puerto Galera ,Oriental Mindoro,2021-08-29T07:24:00,2021-08-29,07:24:00,2021-08-29
29 August 2021 - 02:23 PM,13.73,120.23,30,2.0,Looc ,Occidental Mindoro,2021-08-29T02:23:00,2021-08-29,02:23:00,2021-08-29
29 July 2021 - 12:28 PM,13.74,120.61,95,2.0,Calatagan ,Batangas,2021-07-29T12:28:00,2021-07-29,12:28:00,2021-07-29
29 July 2021 - 10:51 AM,16.33,122.2,28,1.7,Dilasag ,Aurora,2021-07-29T10:51:00,2021-07-29,10:51:00,2021-07-29
29 July 2021 - 09:21 AM,17.77,121.0,25,1.8,Tineg ,Abra,2021-07-29T09:21:00,2021-07-29,09:21:00,2021-07-29
30 March 2021 - 09:59 AM,16.99,121.01,32,1.5,Bontoc ,Mountain Province,2021-03-30T09:59:00,2021-03-30,09:59:00,2021-03-30
30 March 2021 - 01:56 AM,8.25,125.93,33,1.7,Rosario ,Agusan Del Sur,2021-03-30T01:56:00,2021-03-30,01:56:00,2021-03-30
30 March 2021 - 12:08 AM,8.27,126.8,32,1.7,Lingig ,Surigao Del Sur,2021-03-30T12:08:00,2021-03-30,12:08:00,2021-03-30
27 January 2021 - 12:12 AM,5.72,124.73,52,2.0,Maasim ,Sarangani,2021-01-27T12:12:00,2021-01-27,12:12:00,2021-01-27
26 January 2021 - 11:46 PM,17.0,121.45,53,1.8,Aguinaldo ,Ifugao,2021-01-26T11:46:00,2021-01-26,11:46:00,2021-01-26
26 January 2021 - 05:54 PM,16.82,121.49,42,2.0,Ramon ,Isabela,2021-01-26T05:54:00,2021-01-26,05:54:00,2021-01-26
26 February 2021 - 11:03 PM,18.15,121.51,51,2.0,Flora ,Apayao,2021-02-26T11:03:00,2021-02-26,11:03:00,2021-02-26
26 February 2021 - 10:24 PM,16.79,120.08,1,2.0,City Of San Fernando ,La Union,2021-02-26T10:24:00,2021-02-26,10:24:00,2021-02-26
26 February 2021 - 01:20 PM,9.69,123.94,36,2.0,Alburquerque ,Bohol,2021-02-26T01:20:00,2021-02-26,01:20:00,2021-02-26
26 February 2021 - 12:56 PM,9.87,126.12,35,2.0,Pilar ,Surigao Del Norte,2021-02-26T12:56:00,2021-02-26,12:56:00,2021-02-26
26 February 2021 - 11:22 AM,14.13,120.22,115,1.7,Lubang ,Occidental Mindoro,2021-02-26T11:22:00,2021-02-26,11:22:00,2021-02-26
30 May 2021 - 10:43 AM,16.42,122.16,17,2.0,Dilasag ,Aurora,2021-05-30T10:43:00,2021-05-30,10:43:00,2021-05-30
30 May 2021 - 07:41 AM,9.69,126.06,32,1.8,General Luna ,Surigao Del Norte,2021-05-30T07:41:00,2021-05-30,07:41:00,2021-05-30
30 May 2021 - 03:49 AM,13.72,120.23,14,1.9,Looc ,Occidental Mindoro,2021-05-30T03:49:00,2021-05-30,03:49:00,2021-05-30
30 May 2021 - 03:37 AM,9.97,125.4,28,2.0,San Ricardo ,Southern Leyte,2021-05-30T03:37:00,2021-05-30,03:37:00,2021-05-30
29 September 2021 - 04:47 AM,9.98,126.1,27,1.9,Burgos ,Surigao Del Norte,2021-09-29T04:47:00,2021-09-29,04:47:00,2021-09-29
29 September 2021 - 03:05 AM,13.71,120.6,120,1.9,Calatagan ,Batangas,2021-09-29T03:05:00,2021-09-29,03:05:00,2021-09-29
29 September 2021 - 02:44 AM,13.86,120.52,73,2.0,Calatagan ,Batangas,2021-09-29T02:44:00,2021-09-29,02:44:00,2021-09-29
28 September 2021 - 11:58 PM,16.71,120.89,37,2.0,Kabayan ,Benguet,2021-09-28T11:58:00,2021-09-28,11:58:00,2021-09-28
28 September 2021 - 10:36 PM,9.44,126.01,8,2.0,Carrascal ,Surigao Del Sur,2021-09-28T10:36:00,2021-09-28,10:36:00,2021-09-28
